state,advertised_agent_profiles,profile_links_collected,directory_url,error
Enugu,58,58,https://nigeriapropertycentre.com/enugu/agents,
Ebonyi,3,3,https://nigeriapropertycentre.com/ebonyi/agents,
Imo,43,43,https://nigeriapropertycentre.com/imo/agents,
Anambra,25,25,https://nigeriapropertycentre.com/anambra/agents,
Delta,80,80,https://nigeriapropertycentre.com/delta/agents,
Abia,23,23,https://nigeriapropertycentre.com/abia/agents,
Edo,57,57,https://nigeriapropertycentre.com/edo/agents,
Rivers,106,105,https://nigeriapropertycentre.com/rivers/agents,
Cross River,13,13,https://nigeriapropertycentre.com/cross-river/agents,
Akwa Ibom,25,25,https://nigeriapropertycentre.com/akwa-ibom/agents,
Abuja,751,755,https://nigeriapropertycentre.com/abuja/agents,
Ondo,29,29,https://nigeriapropertycentre.com/ondo/agents,
Ekiti,10,10,https://nigeriapropertycentre.com/ekiti/agents,
Kaduna,12,12,https://nigeriapropertycentre.com/kaduna/agents,
